states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Xiaomi,1665.0,0.247032640949554,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Samsung,1445.0,0.214391691394658,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Vivo,982.0,0.145697329376854,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Oppo,501.0,0.074332344213649,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,OnePlus,332.0,0.049258160237388,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Realme,316.0,0.046884272997032,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Apple,229.0,0.033976261127596,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Motorola,226.0,0.033531157270029,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Lenovo,202.0,0.029970326409495,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Huawei,158.0,0.023442136498516,state_aggregated
andaman-&-nicobar-islands,2018,1,Others,256,184689.8662902223,Others,684.0,0.101483679525222,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Xiaomi,2303.0,0.244869750132908,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Samsung,1923.0,0.204465709728867,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Vivo,1523.0,0.161935140882509,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Oppo,708.0,0.075279106858054,state_aggregated
andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731074479,OnePlus,466.0,0.049548112706007,state_aggregated
